priority,tier,platform,status,profile_url,login_owner,nap_match,category_match,service_area_match,photos_needed,reviews_needed,tracking_url,ghl_source_tag,next_action,notes
36,Data and citation network,AroundMe,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=aroundme&utm_medium=citation&utm_campaign=authority_presence,src-aroundme,Create or suppress only if worth managing,GHL scan showed no match
37,Data and citation network,MerchantCircle,GHL No Match,,,No Match,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=merchantcircle&utm_medium=citation&utm_campaign=authority_presence,src-merchantcircle,Create or claim listing with standard NAP,GHL scan showed no match
38,Data and citation network,Tupalo,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=tupalo&utm_medium=citation&utm_campaign=authority_presence,src-tupalo,Create or suppress only if worth managing,GHL scan showed no match
39,Data and citation network,CitySquares,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=citysquares&utm_medium=citation&utm_campaign=authority_presence,src-citysquares,Create or suppress only if worth managing,GHL scan showed no match
40,Data and citation network,8coupons,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=8coupons&utm_medium=citation&utm_campaign=authority_presence,src-8coupons,Create or suppress only if worth managing,GHL scan showed no match
41,Data and citation network,eLocal,GHL No Match,,,No Match,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=elocal&utm_medium=citation&utm_campaign=authority_presence,src-elocal,Create or claim listing if service directory quality is acceptable,GHL scan showed no match
42,Data and citation network,Yellowpages.com,GHL No Match,,,No Match,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=yellowpages&utm_medium=citation&utm_campaign=authority_presence,src-yellowpages,Create or claim listing with standard NAP,GHL scan showed no match
43,Data and citation network,GoLocal247,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=golocal247&utm_medium=citation&utm_campaign=authority_presence,src-golocal247,Create or suppress only if worth managing,GHL scan showed no match
44,Data and citation network,YellowPagesGoesGreen,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=yellowpagesgoesgreen&utm_medium=citation&utm_campaign=authority_presence,src-yellowpagesgoesgreen,Create or suppress only if worth managing,GHL scan showed no match
45,Data and citation network,Opendi,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=opendi&utm_medium=citation&utm_campaign=authority_presence,src-opendi,Create or suppress only if worth managing,GHL scan showed no match
46,Data and citation network,iBegin,GHL Partial Match - Wrong Phone,,,Wrong Phone,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=ibegin&utm_medium=citation&utm_campaign=authority_presence,src-ibegin,Correct old phone 8668981818 to 8668281818,GHL scan found old phone 8668981818
47,Data and citation network,EZlocal,GHL No Match,,,No Match,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=ezlocal&utm_medium=citation&utm_campaign=authority_presence,src-ezlocal,Create or claim listing with standard NAP,GHL scan showed no match
48,Data and citation network,PropertyCapsule,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=propertycapsule&utm_medium=citation&utm_campaign=authority_presence,src-propertycapsule,Create only if relevant to service-area business,GHL scan showed no match
49,Data and citation network,JUDYSBOOK,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=judysbook&utm_medium=citation&utm_campaign=authority_presence,src-judysbook,Create or suppress only if worth managing,GHL scan showed no match
50,Data and citation network,Acompio,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=acompio&utm_medium=citation&utm_campaign=authority_presence,src-acompio,Create or suppress only if worth managing,GHL scan showed no match
